,Moon,Date,Time,BP3,OC,People_total,ppl_msq,Tide,PreTide,PostTide
1,Muku,20220628,0,12.34323938,0,0,0,0.082641643,0.073152,0.164592
2,Muku,20220628,0,13.92103346,0,0,0,0.082641643,0.073152,0.164592
3,Muku,20220628,0,11.11399992,0,0,0,0.082641643,0.073152,0.164592
4,Muku,20220628,4,20.03424454,0,0,0,0.15407579,0.164592,-0.04572
5,Muku,20220628,4,20.05966888,0,0,0,0.15407579,0.164592,-0.04572
6,Muku,20220628,4,18.89155303,0,0,0,0.15407579,0.164592,-0.04572
7,Muku,20220628,8,10.77350884,84.05649995,9,0.00111669,-0.03957127,0.164592,-0.04572
8,Muku,20220628,8,16.71568664,89.25649995,9,0.00111669,-0.03957127,0.164592,-0.04572
9,Muku,20220628,8,12.98207359,71.75649995,9,0.00111669,-0.03957127,0.164592,-0.04572
10,Muku,20220628,9,0,0,11,0.001364844,-0.04101023,-0.04572,0.694944
11,Muku,20220628,10,0,0,34,0.004218608,0.00734629,-0.04572,0.694944
12,Muku,20220628,11,0,0,62,0.007692756,0.105770782,-0.04572,0.694944
13,Muku,20220628,12,17.40705158,83.8520307,43,0.005335299,0.242411402,-0.04572,0.694944
14,Muku,20220628,12,17.5762728,50.56522853,43,0.005335299,0.242411402,-0.04572,0.694944
15,Muku,20220628,12,17.84468589,58.92493561,43,0.005335299,0.242411402,-0.04572,0.694944
16,Muku,20220628,13,0,0,46,0.005707529,0.395443862,-0.04572,0.694944
17,Muku,20220628,14,0,0,41,0.005087145,0.537786682,-0.04572,0.694944
18,Muku,20220628,15,0,0,52,0.006451989,0.643230413,-0.04572,0.694944
19,Muku,20220628,16,233.4873095,1684.813641,79,0.00980206,0.692469938,-0.04572,0.694944
20,Muku,20220628,16,231.3412514,1372.826585,79,0.00980206,0.692469938,-0.04572,0.694944
21,Muku,20220628,16,158.6002119,672.4696521,79,0.00980206,0.692469938,-0.04572,0.694944
22,Muku,20220628,17,0,0,54,0.006700143,0.677535653,0.694944,0.064008
23,Muku,20220628,18,0,0,36,0.004466762,0.603529908,0.694944,0.064008
24,Muku,20220628,19,0,0,33,0.004094532,0.487238954,0.694944,0.064008
25,Muku,20220628,20,19.09820703,39.47990008,0,0,0.352983698,0.694944,0.064008
26,Muku,20220628,20,13.66619297,78.92796094,0,0,0.352983698,0.694944,0.064008
27,Muku,20220628,20,15.7930064,151.5657751,0,0,0.352983698,0.694944,0.064008
28,Muku,20220628,24,19.00578532,12.35483619,0,0,0.063442901,0.064008,0.161544
29,Muku,20220628,24,19.27386224,13.48389728,0,0,0.063442901,0.064008,0.161544
30,Muku,20220628,24,21.48365351,13.8751593,0,0,0.063442901,0.064008,0.161544
31,Olekukolu,20220707,0,21.22100372,0,0,0,0.296344543,0.42672,-0.009144
32,Olekukolu,20220707,0,21.48004747,0,0,0,0.296344543,0.42672,-0.009144
33,Olekukolu,20220707,0,19.26922089,0,0,0,0.296344543,0.42672,-0.009144
34,Olekukolu,20220707,4,20.3106547,15.64440543,0,0,-0.006043574,0.42672,-0.009144
35,Olekukolu,20220707,4,21.6979727,12.77033606,0,0,-0.006043574,0.42672,-0.009144
